relative_delay_us,normalized_magnitude,magnitude_db,smoothed_magnitude
-3.036000000000000000e+03,2.347706258296966553e-01,-1.258712577819824219e+01,2.575246529067176660e-01
-3.032000000000000000e+03,1.730915606021881104e-01,-1.523448181152343750e+01,2.520076686699033175e-01
-3.028000000000000000e+03,1.090931370854377747e-01,-1.924405097961425781e+01,2.433499686906475390e-01
-3.024000000000000000e+03,1.672326624393463135e-01,-1.553357887268066406e+01,1.992114716969318189e-01
-3.020000000000000000e+03,1.825827360153198242e-01,-1.477080535888671875e+01,1.777209700855925667e-01
-3.016000000000000000e+03,7.755689322948455811e-02,-2.220759201049804688e+01,1.620934968105607887e-01
-3.012000000000000000e+03,9.654609113931655884e-02,-2.030530738830566406e+01,1.386381307386506945e-01
-3.008000000000000000e+03,5.343076586723327637e-02,-2.544417190551757812e+01,1.140334895215082966e-01
-3.004000000000000000e+03,8.368868380784988403e-02,-2.154666519165039062e+01,1.151660052801412176e-01
-3.000000000000000000e+03,9.494523704051971436e-02,-2.045053672790527344e+01,1.188018529604554230e-01
-2.996000000000000000e+03,8.159071952104568481e-02,-2.176718521118164062e+01,1.378320967001452069e-01
-2.992000000000000000e+03,1.094963550567626953e-01,-1.921200561523437500e+01,1.624142825983728722e-01
-2.988000000000000000e+03,1.212132200598716736e-01,-1.832900047302246094e+01,1.614077927413676006e-01
-2.984000000000000000e+03,1.712462007999420166e-01,-1.532758140563964844e+01,1.605964790358904437e-01
-2.980000000000000000e+03,9.136029332876205444e-02,-2.078485107421875000e+01,1.800170144168527775e-01
-2.976000000000000000e+03,7.870095968246459961e-02,-2.208040046691894531e+01,1.920235481678725931e-01
-2.972000000000000000e+03,1.786689609289169312e-01,-1.495901870727539062e+01,1.472678405341712182e-01
-2.968000000000000000e+03,1.639784276485443115e-01,-1.570426559448242188e+01,1.567282778977536484e-01
-2.964000000000000000e+03,1.183407008647918701e-02,-3.853731536865234375e+01,1.604065407156210210e-01
-2.960000000000000000e+03,1.250567436218261719e-01,-1.805785751342773438e+01,1.251809269075290498e-01
-2.956000000000000000e+03,9.180229902267456055e-02,-2.074292945861816406e+01,8.369342255311706946e-02
-2.952000000000000000e+03,5.320138484239578247e-02,-2.548154067993164062e+01,1.039712846484215775e-01
-2.948000000000000000e+03,1.620707474648952484e-02,-3.580590820312500000e+01,1.106583803072926364e-01
-2.944000000000000000e+03,8.406032621860504150e-02,-2.150817871093750000e+01,1.225102369686853765e-01
-2.940000000000000000e+03,1.488750278949737549e-01,-1.654356193542480469e+01,1.239825946823696207e-01
-2.936000000000000000e+03,1.340165734291076660e-01,-1.745682907104492188e+01,1.450713589243253498e-01
-2.932000000000000000e+03,5.844566971063613892e-02,-2.466495323181152344e+01,1.537717250554118398e-01
-2.928000000000000000e+03,9.132162481546401978e-02,-2.078852653503417969e+01,1.471113247649608602e-01
-2.924000000000000000e+03,1.150495335459709167e-01,-1.878230285644531250e+01,1.379937017838333835e-01
-2.920000000000000000e+03,1.251518279314041138e-01,-1.805125617980957031e+01,1.488897065351502125e-01
-2.916000000000000000e+03,1.015411689877510071e-01,-1.986715698242187500e+01,1.524230420762886229e-01
-2.912000000000000000e+03,9.725536406040191650e-02,-2.024172782897949219e+01,1.339090332539659978e-01
-2.908000000000000000e+03,1.039067581295967102e-01,-1.966712570190429688e+01,1.384705734789055120e-01
-2.904000000000000000e+03,4.910581931471824646e-02,-2.617733955383300781e+01,1.156289671236108429e-01
-2.900000000000000000e+03,1.413992494344711304e-01,-1.699105834960937500e+01,1.051067435494590779e-01
-2.896000000000000000e+03,2.018329687416553497e-02,-3.390015792846679688e+01,8.728294554850490883e-02
